interval,Week,Subject,Session,column_name_1,column_name_2,column_name_3
0,week_1,s01\,run_01,,,
0,week_1,s01\,run_02,,,
0,week_1,s01\,run_03,,,
0,week_1,s01\,run_04,,,
0,week_1,s01\,run_05,,,
0,week_1,s01\,run_06,,,
0,week_1,s01\,run_07,,,
0,week_1,s02\,run_01,,,
0,week_1,s02\,run_02,,,
0,week_1,s02\,run_03,,,
0,week_1,s02\,run_04,,,
0,week_1,s02\,run_05,,,
0,week_1,s02\,run_06,,,
0,week_1,s02\,run_07,,,
0,week_1,s03\,run_01,,,
0,week_1,s03\,run_02,,,
0,week_1,s03\,run_03,,,
0,week_1,s03\,run_04,,,
0,week_1,s03\,run_05,,,
0,week_1,s03\,run_06,,,
0,week_1,s03\,run_07,,,
0,week_1,s04\,run_01,,,
0,week_1,s04\,run_02,,,
0,week_1,s04\,run_03,,,
0,week_1,s04\,run_05,,,
0,week_1,s04\,run_07,,,
0,week_1,s07\,run_01,,,
0,week_1,s07\,run_02,,,
0,week_1,s07\,run_03,,,
0,week_1,s07\,run_05,,,
0,week_1,s07\,run_06,,,
0,week_1,s07\,run_07,,,
0,week_1,s08\,run_01,,,
0,week_1,s08\,run_02,,,
0,week_1,s08\,run_03,,,
0,week_1,s08\,run_04,,,
0,week_1,s10\,run_01,,,
0,week_1,s10\,run_02,,,
0,week_1,s10\,run_03,,,
0,week_1,s10\,run_04,,,
0,week_1,s10\,run_05,,,
0,week_1,s10\,run_06,,,
0,week_1,s10\,run_07,,,
0,week_1,s11\,run_01,,,
0,week_1,s11\,run_02,,,
0,week_1,s11\,run_03,,,
0,week_1,s11\,run_04,,,
0,week_1,s11\,run_05,,,
0,week_1,s11\,run_06,,,
0,week_1,s11\,run_07,,,
0,week_1,s13\,run_01,,,
0,week_1,s13\,run_02,,,
0,week_1,s13\,run_03,,,
0,week_1,s13\,run_04,,,
0,week_1,s13\,run_06,,,
0,week_1,s14\,run_01,,,
0,week_1,s14\,run_02,,,
0,week_1,s14\,run_03,,,
0,week_1,s14\,run_04,,,
0,week_1,s14\,run_05,,,
0,week_1,s14\,run_06,,,
0,week_1,s14\,run_07,,,
0,week_1,s17\,run_01,,,
0,week_1,s17\,run_02,,,
0,week_1,s17\,run_03,,,
